,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
174,Skoda Laura 1.9 TDI MT Elegance,Pune,2007,124298,Diesel,Manual,Second,17.0 kmpl,1896 CC,105 bhp,5.0,,12.62619674203849
175,Maruti Wagon R LX,Jaipur,2003,50000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.7240759452886953
176,Nissan Sunny 2011-2014 Diesel XV,Kolkata,2013,40001,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,5.0201232342185
177,Honda Brio VX,Bangalore,2015,62659,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,4.9877266983451225
178,Hyundai i10 Sportz,Kochi,2014,68138,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,4.699628636772052
179,Mercedes-Benz M-Class ML 250 CDI,Mumbai,2014,34000,Diesel,Automatic,First,15.26 kmpl,2143 CC,203.2 bhp,5.0,,7.321484471675115
180,Volkswagen Vento Petrol Comfortline,Mumbai,2013,67000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,4.814533351750884
181,Honda Mobilio S i DTEC,Delhi,2015,64141,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,,8.021350108883103
182,Maruti Alto LXI,Kolkata,2019,1000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,3.99 Lakh,2.722721765415027
183,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2013,42000,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,7.409962746486865
184,Honda City ZX VTEC Plus,Coimbatore,2009,76677,Petrol,Manual,Third,16.9 kmpl,1497 CC,100 bhp,5.0,,1.5507702209972725
185,Audi A8 L 3.0 TDI quattro,Kochi,2013,66848,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5.0,,7.4621485548643385
186,Hyundai Santro Xing GL,Ahmedabad,2007,78000,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,,1.7752835254588586
187,Maruti Swift Dzire VDi,Delhi,2010,111166,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,7.513279273338966
188,Hyundai Verna CRDi ABS,Chennai,2007,76000,Diesel,Manual,First,18.1 kmpl,1493 CC,110 bhp,5.0,,4.946659239613294
189,Audi Q5 2008-2012 2.0 TDI,Coimbatore,2012,94049,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5.0,,12.755943617554617
190,BMW X1 sDrive20d,Ahmedabad,2014,47000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,,12.097684605437287
191,Tata Indica DLS,Chennai,2006,140000,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,5.0,,7.281447464136983
192,Tata Nano XT,Delhi,2015,20047,Petrol,Manual,First,23.9 kmpl,624 CC,37.48 bhp,4.0,,1.7328987077063696
193,BMW 7 Series 730Ld DPE Signature,Chennai,2017,16000,Diesel,Automatic,First,16.77 kmpl,2993 CC,261.49 bhp,5.0,1.58 Cr,9.303085941827076
194,Honda Brio 1.2 S MT,Chennai,2012,27000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5.0,6.15 Lakh,2.8219834949782308
195,Maruti Alto 800 2016-2019 LXI,Mumbai,2018,1001,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,,2.6747875173995306
196,Hyundai i20 1.2 Sportz,Kolkata,2010,89312,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,2.5889693696545266
197,Hindustan Motors Contessa 2.0 DSL,Pune,1996,65000,Diesel,Manual,Second,14.1 kmpl,1995 CC,null bhp,5.0,,8.336645312724892
198,Renault Duster 110PS Diesel RxZ,Pune,2012,93000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,,10.347129088605405
199,Maruti Swift Dzire VDI,Kolkata,2013,48000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,5.143882977120831
200,Maruti Dzire ZDI,Coimbatore,2014,64917,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.95 Lakh,7.588509727926972
201,Honda City i VTEC V,Jaipur,2017,19678,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,4.267404792557164
202,Jaguar XF Diesel,Kolkata,2014,12000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,9.31262651283951
203,BMW 3 Series 320d Luxury Line,Delhi,2014,41309,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,12.403961018027161
204,BMW 3 Series Luxury Line,Coimbatore,2018,25038,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,62.07 Lakh,11.29423930144859
205,Chevrolet Beat Diesel LS,Coimbatore,2016,68673,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,,6.525192383564504
206,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,26343,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,9.2368879125665
207,Maruti Omni E 8 Str STD,Bangalore,2005,81245,Petrol,Manual,Fourth & Above,16.8 kmpl,796 CC,34.2 bhp,8.0,,4.920161270846486
208,Nissan Micra Diesel XV,Delhi,2012,62100,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,6.637165448257948
209,Volkswagen Vento Petrol Highline,Pune,2013,104000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,2.754718048439108
210,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,114831,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,19.85904914581561
211,Fiat Linea Dynamic,Mumbai,2010,46000,Petrol,Manual,First,14.6 kmpl,1368 CC,88.7 bhp,5.0,,2.139436081838039
212,Hyundai Verna 1.6 SX,Jaipur,2014,80000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,7.201437084836874
213,Hyundai i20 Active 1.2 S,Kolkata,2016,9201,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5.0,,3.1588904269997515
214,Honda Brio V MT,Kochi,2013,55311,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,4.619460493106771
215,Honda Mobilio RS Option i DTEC,Coimbatore,2015,58217,Diesel,Manual,First,24.5 kmpl,1498 CC,98.6 bhp,7.0,,6.867215903931734
216,Mitsubishi Pajero Sport 4X4,Delhi,2013,70655,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,31.93 Lakh,27.601349701857064
217,Hyundai i10 Magna,Kolkata,2015,46000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.1832237601195805
218,Tata Manza Club Class Quadrajet90 LS,Pune,2014,125000,Diesel,Manual,First,21.02 kmpl,1248 CC,88.8 bhp,5.0,,9.129838582830947
219,Renault Duster Adventure Edition,Mumbai,2014,59000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,5.395967478497429
220,Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,2013,66000,Diesel,Automatic,Second,22.0 kmpl,1582 CC,126.2 bhp,5.0,15.88 Lakh,20.59885583043884
221,Maruti Ritz VDi,Hyderabad,2009,82242,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,6.547228676379567
222,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2012,107281,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,39.280395909283186
223,Tata Sumo EX 10/7 Str BSII,Chennai,2015,196000,Diesel,Manual,Second,12.2 kmpl,1948 CC,68 bhp,10.0,,33.201850758152226
224,Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015,75000,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5.0,43.65 Lakh,12.648341416146863
225,Fiat Grande Punto 1.2 Emotion,Kolkata,2011,11791,Petrol,Manual,First,16.2 kmpl,1172 CC,68 bhp,5.0,,2.313292212233036
226,Hyundai Elantra SX,Ahmedabad,2013,46000,Petrol,Manual,First,16.3 kmpl,1797 CC,147.5 bhp,5.0,,4.288782663458108
227,Volkswagen Polo Diesel Trendline 1.2L,Pune,2011,81000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,,6.44446292274068
228,Toyota Etios Cross 1.2L G,Coimbatore,2015,46950,Petrol,Manual,First,17.71 kmpl,1197 CC,78.8 bhp,5.0,8.23 Lakh,4.484680405357258
229,Hyundai Grand i10 Asta Option,Chennai,2017,18000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,3.2477002592620146
230,Mahindra Scorpio S4 7 Seater,Coimbatore,2016,95942,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,32.3268619267339
231,Maruti Ciaz VXi Plus,Kochi,2016,42925,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,4.9656782897513185
232,Ford Figo Petrol Titanium,Hyderabad,2014,33750,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5.0,,3.6425626378224054
233,Mini Cooper S,Mumbai,2016,14000,Petrol,Automatic,First,13.6 kmpl,1598 CC,181 bhp,4.0,,3.4117510171934597
234,Hyundai Creta 1.6 CRDi SX,Bangalore,2015,29000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,5.111333847233593
235,Mahindra XUV500 W8 2WD,Kochi,2015,67365,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,28.480434704067466
236,Mahindra XUV500 W8 2WD,Coimbatore,2014,67791,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,28.19524343623463
237,Mahindra Thar CRDe AC,Hyderabad,2016,20000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,6.0,,15.384404683502762
238,Maruti Swift Dzire VDi,Jaipur,2011,90198,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,6.424541197081261
239,Hyundai i10 Sportz 1.1L,Pune,2010,77000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.310072734213469
240,Maruti Ciaz VXi,Kochi,2017,42520,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,4.486157851411948
241,Maruti Wagon R LXI DUO BSIII,Jaipur,2009,87829,LPG,Manual,First,17.3 km/kg,1061 CC,57.5 bhp,5.0,,5.9643393034303545
242,Maruti Baleno Delta CVT,Ahmedabad,2017,21701,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,8.57 Lakh,6.553256746647712
243,Maruti Alto LX BSIII,Coimbatore,2008,86033,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,3.095903454449277
244,Hyundai Xcent 1.2 Kappa S Option,Mumbai,2015,25000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5.0,,3.1003648601731246
245,Toyota Corolla Altis Diesel D4DG,Kolkata,2011,45000,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,,4.825910457662142
246,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2018,22987,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,3.3186161534886818
247,Hyundai i10 Era,Jaipur,2009,48725,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.265508695915254
248,Hyundai Grand i10 1.2 Kappa Sportz,Hyderabad,2013,42500,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.19 Lakh,3.7974167351604464
249,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2014,35000,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,,4.38540434728154
250,Ford Fiesta 1.4 SXi TDCi ABS,Bangalore,2014,56000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,5.013786161304974
251,Tata Xenon XT EX 4X2,Hyderabad,2014,10000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,5.0,,10.225911819679052
252,Maruti Alto K10 2010-2014 VXI,Mumbai,2010,15669,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.284345931658124
253,Audi A6 2011-2015 35 TDI Premium,Kochi,2016,55331,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,10.658585080996675
254,Renault Duster 85PS Diesel RxL Optional,Pune,2015,44535,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,,4.947285829786694
255,Mahindra Thar 4X4,Delhi,2012,74000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,7.0,,32.43962566037017
256,Toyota Innova 2.5 GX (Diesel) 7 Seater,Delhi,2014,77901,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,28.041339085766808
257,Maruti Swift Dzire VXi,Kolkata,2010,58186,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,2.5528975860186445
258,Chevrolet Aveo 1.6 LT,Mumbai,2010,30000,Petrol,Manual,First,14.2 kmpl,1598 CC,102 bhp,5.0,,2.358651948715096
259,Toyota Etios GD,Bangalore,2012,90000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,,7.182286843930408
260,Jaguar XE Portfolio,Coimbatore,2018,14730,Petrol,Automatic,First,13.5 kmpl,1999 CC,246.74 bhp,5.0,56.98 Lakh,7.71973171806197
261,Maruti Alto LXi,Jaipur,2013,40000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.9000824573752704
262,Chevrolet Aveo U-VA 1.2 LS,Chennai,2007,88107,Petrol,Manual,Second,15.26 kmpl,1150 CC,74.9 bhp,5.0,,1.9658013534377927
263,Volkswagen Vento 1.5 TDI Highline,Delhi,2012,53226,Diesel,Manual,Second,20.64 kmpl,1498 CC,108.5 bhp,5.0,14.13 Lakh,7.250143762712041
264,Maruti Swift VDI BSIV,Hyderabad,2013,76000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,7.489327714054433
265,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2008,200000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,17.36125587785122
266,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Hyderabad,2013,73000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,12.586370140907329
267,Hyundai Accent GLE 1,Jaipur,2009,77200,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5.0,,1.4849672845629445
268,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,67000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,13.671296076460747
269,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2005,150000,Diesel,Manual,Second,14.8 kmpl,2499 CC,80 bhp,10.0,,23.10132641183797
270,Mahindra Xylo E8 ABS BS IV,Jaipur,2009,145278,Diesel,Manual,Second,11.68 kmpl,2498 CC,112 bhp,8.0,,16.487507612868644
271,Hyundai i20 Active SX Diesel,Chennai,2015,62083,Diesel,Manual,First,21.19 kmpl,1396 CC,88.76 bhp,5.0,11.48 Lakh,5.899310730822938
272,Honda Civic 2006-2010 1.8 V MT,Pune,2010,61696,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,2.113492920612168
273,Ford EcoSport 1.5 Diesel Titanium,Ahmedabad,2017,28000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,11.2 Lakh,6.377335901601633
274,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2013,50142,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,11.651933047181641
275,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2014,45000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,4.227210184616527
276,Skoda Rapid 1.5 TDI Elegance,Pune,2014,97513,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,,6.883277601635781
277,Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Mumbai,2011,55000,Petrol,Automatic,Second,12.3 kmpl,1796 CC,185 bhp,5.0,,5.300903537371221
278,Maruti 800 AC,Hyderabad,2004,82000,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,4.0,,2.3005788274704697
279,Maruti Swift LDI,Delhi,2013,71501,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.20986397995946
280,Honda BR-V i-DTEC S MT,Hyderabad,2017,23000,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7.0,14.13 Lakh,6.984373410163239
281,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,66095,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,11.791321794647786
282,Toyota Fortuner 3.0 Diesel,Mumbai,2014,49500,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,19.283080996558937
283,Toyota Camry MT with Moonroof,Chennai,2009,90000,Petrol,Manual,First,13.4 kmpl,2362 CC,164.7 bhp,5.0,,6.650866437091134
284,Maruti Ignis 1.2 Delta,Mumbai,2017,25384,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,6.41 Lakh,3.110358432527505
285,Hyundai Verna 1.6 VTVT S,Delhi,2016,27529,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,,5.132307353489142
286,Honda City V MT,Kochi,2012,69297,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,3.0253617231893655
287,Honda City 1.5 E MT,Hyderabad,2009,66000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.5816377218234208
288,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2012,20000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5.0,9.12 Lakh,4.9093515339406775
289,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015,67000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,,9.5226362253745
290,Hyundai EON D Lite Plus,Coimbatore,2015,36933,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.055829846304288
291,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2007,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,25.15701206898051
292,Maruti Ertiga VDI,Kolkata,2013,42200,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,8.332981241224427
293,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53093,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,,13.443292682943385
294,Honda City 1.5 E MT,Pune,2012,88000,Petrol,Manual,Third,17.0 kmpl,1497 CC,118 bhp,5.0,,2.79450220985365
295,Maruti Alto K10 LXI,Kochi,2017,42954,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,3.91 Lakh,3.2732788329130313
296,Tata Indica V2 eLX,Chennai,2015,106000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,10.107150136181334
297,BMW 5 Series 2013-2017 520d Luxury Line,Kochi,2015,41700,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,,13.256522113769506
298,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Coimbatore,2018,34464,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,10.231854161570118
299,Chevrolet Beat LT,Ahmedabad,2010,15000,Petrol,Manual,First,17.8 kmpl,1199 CC,76.8 bhp,5.0,,2.1743218683979735
300,Maruti Zen Estilo LXI BS IV,Pune,2010,70000,Petrol,Manual,Second,19.0 kmpl,998 CC,67.1 bhp,5.0,,2.5993844901667447
301,Mahindra XUV500 W8 4WD,Hyderabad,2017,119256,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,36.680703436511344
302,Honda City 1.5 V MT,Coimbatore,2011,50036,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.7340498434380893
303,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2013,58000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,24.949233265450957
304,Hyundai i20 1.2 Magna,Pune,2011,75000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,2.6943849676675358
305,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,53313,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.794391575992643
306,Toyota Innova 2.5 G (Diesel) 8 Seater,Kolkata,2015,73000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,30.257774841788272
307,Nissan Micra Diesel XV,Kochi,2013,83989,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,8.627089573099731
308,Hyundai Creta 1.6 CRDi SX,Chennai,2015,86247,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,7.502512277770874
309,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2016,24000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,20.30598515994569
310,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,2010,58000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,10.121009489192309
311,Hyundai i20 Asta 1.2,Kolkata,2015,33000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,3.6642862484048884
312,Honda Accord VTi-L (AT),Hyderabad,2005,100000,Petrol,Automatic,First,11.1 kmpl,2354 CC,142 bhp,5.0,,6.376515600971027
313,Toyota Innova Crysta 2.4 ZX MT,Hyderabad,2017,65896,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.04 Lakh,25.674747503789998
314,Hyundai i20 Asta Option 1.4 CRDi,Chennai,2016,120000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,9.699163659562949
315,Mahindra Verito Vibe 1.5 dCi D6,Mumbai,2013,26000,Diesel,Manual,First,20.8 kmpl,1461 CC,64.1 bhp,5.0,8.92 Lakh,4.443984558658577
316,Maruti Eeco 5 Seater AC,Chennai,2012,62300,Petrol,Manual,Second,15.1 kmpl,1196 CC,73 bhp,5.0,5.01 Lakh,1.9911276077484321
317,Toyota Corolla Altis 1.8 G,Kochi,2012,77801,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,19.01 Lakh,2.6130135232488447
318,Toyota Corolla Altis VL AT,Mumbai,2015,42000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,4.148858810530099
319,Mercedes-Benz A Class A180 Sport,Bangalore,2013,35000,Petrol,Automatic,Second,15.5 kmpl,1595 CC,120.7 bhp,5.0,,3.066691818626917
320,Hyundai i20 Asta 1.4 CRDi,Kolkata,2016,30134,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,5.175816117499794
321,Honda Accord 2.4 M/T,Delhi,2012,79038,Petrol,Manual,First,12.8 kmpl,2354 CC,177.6 bhp,5.0,,6.106251086290243
322,Honda Accord 2.4 AT,Mumbai,2009,80000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5.0,,6.928982524400658
323,Mahindra Bolero SLE BSIII,Hyderabad,2012,75000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,,22.733385282500766
324,Maruti Ritz LDi,Bangalore,2010,80000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,6.443407876227314
325,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,84419,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,3.8902096821978036
326,Honda Amaze S i-Vtech,Kolkata,2013,70200,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.619389266134199
327,Volkswagen Vento Petrol Highline,Chennai,2013,98000,Petrol,Manual,Second,15.04 kmpl,1598 CC,103.6 bhp,5.0,,2.110385632119676
328,Maruti Ritz LDi,Chennai,2016,131503,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,11.24581086796954
329,Honda City 1.5 S MT,Jaipur,2011,54652,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.672918974063613
330,Volkswagen Jetta 2007-2011 1.6 Trendline,Mumbai,2010,92000,Petrol,Manual,Second,14.0 kmpl,1595 CC,102 bhp,5.0,,1.3790969396099215
331,Ford Figo Petrol ZXI,Kolkata,2010,44287,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,,2.092288704914051
332,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,205000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,39.710772512569115
333,Hyundai Elite i20 Asta Option,Hyderabad,2015,48000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,9.45 Lakh,4.665088388943421
334,Mahindra KUV 100 mFALCON D75 K2,Mumbai,2016,18000,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.895925278583675
335,Bentley Flying Spur W12,Bangalore,2008,31200,Petrol,Automatic,Second,10.2 kmpl,5998 CC,616 bhp,5.0,3.75 Cr,8.602260625248853
336,Honda City 1.5 V MT,Pune,2009,72000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.6715852972170406
337,Hyundai i20 Magna,Mumbai,2009,85000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,2.6117391832254215
338,Honda City 1.5 V MT,Kolkata,2010,27000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.401464982065403
339,Toyota Fortuner 2.8 2WD MT,Mumbai,2012,126000,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,35.16 Lakh,38.60277142146701
340,Tata Indica V2 DLS BSIII,Pune,2017,50000,Diesel,Manual,First,17.88 kmpl,1405 CC,48.21 bhp,5.0,,7.3720645673107175
341,Honda Amaze S i-Vtech,Mumbai,2013,58811,Petrol,Manual,Second,18.0 kmpl,1198 CC,86.7 bhp,5.0,,2.6984625283400283
342,Volkswagen Polo Diesel Highline 1.2L,Pune,2013,52196,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.963958860640321
343,Nissan Micra Active XV,Coimbatore,2017,45105,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5.0,6.78 Lakh,3.321473024697074
344,Hyundai Grand i10 Sportz,Hyderabad,2015,25160,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,,3.5804057603694144
345,Tata Tigor 1.2 Revotron XZ Option,Hyderabad,2017,18000,Petrol,Manual,First,20.3 kmpl,1199 CC,84 bhp,5.0,,3.1594095533796143
346,Honda Accord 2001-2003 2.3 VTI L MT,Bangalore,2007,74000,Petrol,Manual,First,11.9 kmpl,2354 CC,144 bhp,5.0,,5.376063623568889
347,Mahindra Xylo E4,Chennai,2009,67700,Diesel,Manual,First,14.0 kmpl,2498 CC,112 bhp,7.0,,25.432613781740713
